Provincia,Canton,Parroquia,Femenino,Masculino,Textbox17,Textbox6,Textbox7,Textbox18
AZUAY,CAMILO PONCE ENRIQUEZ,CAMILO PONCE ENRIQUEZ,"2,294","2,096","4,390","1,945,017","1,767,520","3,712,537"
AZUAY,CAMILO PONCE ENRIQUEZ,EL CARMEN DEL PIJILI,215,173,388,"1,945,017","1,767,520","3,712,537"
AZUAY,CHORDELEG,CHORDELEG,"1,183","1,109","2,292","1,945,017","1,767,520","3,712,537"
AZUAY,CHORDELEG,LA UNION,134,128,262,"1,945,017","1,767,520","3,712,537"
AZUAY,CHORDELEG,LUIS GALARZA ORELLANA,156,155,311,"1,945,017","1,767,520","3,712,537"
AZUAY,CHORDELEG,PRINCIPAL,212,225,437,"1,945,017","1,767,520","3,712,537"
AZUAY,CHORDELEG,SAN MARTIN DE PUZHIO,136,128,264,"1,945,017","1,767,520","3,712,537"
AZUAY,CUENCA,BAÑOS,"2,915","4,796","7,711","1,945,017","1,767,520","3,712,537"
AZUAY,CUENCA,BELLAVISTA,"4,186","5,054","9,240","1,945,017","1,767,520","3,712,537"
AZUAY,CUENCA,CAÑARIBAMBA,"2,978","3,344","6,322","1,945,017","1,767,520","3,712,537"
AZUAY,CUENCA,CHAUCHA,185,165,350,"1,945,017","1,767,520","3,712,537"
AZUAY,CUENCA,CHECA (JIDCAY),330,264,594,"1,945,017","1,767,520","3,712,537"
AZUAY,CUENCA,CHIQUINTAD,548,566,"1,114","1,945,017","1,767,520","3,712,537"
AZUAY,CUENCA,CUMBE,655,705,"1,360","1,945,017","1,767,520","3,712,537"
AZUAY,CUENCA,EL BATAN,"1,455","1,013","2,468","1,945,017","1,767,520","3,712,537"
AZUAY,CUENCA,EL SAGRARIO,"6,244","4,065","10,309","1,945,017","1,767,520","3,712,537"
AZUAY,CUENCA,EL VECINO,"3,564","2,920","6,484","1,945,017","1,767,520","3,712,537"
AZUAY,CUENCA,GIL RAMIREZ DAVALOS,"2,874","1,788","4,662","1,945,017","1,767,520","3,712,537"
AZUAY,CUENCA,HERMANO MIGUEL,"1,365","1,263","2,628","1,945,017","1,767,520","3,712,537"
AZUAY,CUENCA,HUAYNACAPAC,"3,996","5,037","9,033","1,945,017","1,767,520","3,712,537"
AZUAY,CUENCA,LLACAO,482,473,955,"1,945,017","1,767,520","3,712,537"
AZUAY,CUENCA,MACHANGARA,825,900,"1,725","1,945,017","1,767,520","3,712,537"
AZUAY,CUENCA,MOLLETURO,"1,609","1,476","3,085","1,945,017","1,767,520","3,712,537"
AZUAY,CUENCA,MONAY,"3,469","1,428","4,897","1,945,017","1,767,520","3,712,537"
AZUAY,CUENCA,NULTI,770,779,"1,549","1,945,017","1,767,520","3,712,537"
AZUAY,CUENCA,OCTAVIO CORDERO PALACIOS (SANTA ROSA),203,213,416,"1,945,017","1,767,520","3,712,537"
AZUAY,CUENCA,PACCHA,374,373,747,"1,945,017","1,767,520","3,712,537"
AZUAY,CUENCA,QUINGEO,953,871,"1,824","1,945,017","1,767,520","3,712,537"
AZUAY,CUENCA,RICAURTE,"1,800","2,217","4,017","1,945,017","1,767,520","3,712,537"
AZUAY,CUENCA,SAN BLAS,"1,519","1,354","2,873","1,945,017","1,767,520","3,712,537"
AZUAY,CUENCA,SAN JOAQUIN,780,756,"1,536","1,945,017","1,767,520","3,712,537"
AZUAY,CUENCA,SAN SEBASTIAN,"5,813","3,497","9,310","1,945,017","1,767,520","3,712,537"
AZUAY,CUENCA,SANT ANA,761,717,"1,478","1,945,017","1,767,520","3,712,537"
AZUAY,CUENCA,SAYAUSI,"1,561","1,522","3,083","1,945,017","1,767,520","3,712,537"
AZUAY,CUENCA,SIDCAY,257,216,473,"1,945,017","1,767,520","3,712,537"
AZUAY,CUENCA,SININCAY,592,587,"1,179","1,945,017","1,767,520","3,712,537"
AZUAY,CUENCA,SUCRE,"4,361","4,979","9,340","1,945,017","1,767,520","3,712,537"
AZUAY,CUENCA,TARQUI,"1,037","1,056","2,093","1,945,017","1,767,520","3,712,537"
AZUAY,CUENCA,TOTORACOCHA,"3,524","1,092","4,616","1,945,017","1,767,520","3,712,537"
AZUAY,CUENCA,TURI,666,674,"1,340","1,945,017","1,767,520","3,712,537"
